order original	order	type	title	summary	summary original	Instelling	Datum	Bodytekst	latitude	longitude	zoomTo	Afbeelding	Wikipedia link	Opm SF	opm SN	
	1	Beeld	De Siboga	Bijna een jaar lang voer het schip Hr. Ms. Siboga de expeditieleden rond de eilanden van de Indonesische archipel. Na de expeditie werd het schip nog tot 1930 als mijnenlegger gebruikt door de Nederlandse Marine.	Bijna een jaar lang voer het schip Hr. Ms. Siboga de expeditieleden rond de eilanden van de Indonesische archipel. Na de expeditie werd het schip nog tot 1930 als mijnenlegger gebruikt door de Nederlandse Marine.	Universiteit van Amsterdam	1-1-1898		-7.195541	112.736253	10	https://commons.wikimedia.org/wiki/File:Siboga,_gunboat_(1898).jpg		coordinaten - Surabaya, startpunt		
	2	Beeld	Crew en wetenschappers	Vier leden van de wetenschappelijke staf van de expeditie: v.l.n.r. H.F. Nierstrasz, J.W. Huysmans, Prof. Max Weber en Dr. J. Versluys	Vier leden van de wetenschappelijke staf van de expeditie: v.l.n.r. H.F. Nierstrasz, J.W. Huysmans, Prof. Max Weber en Dr. J. Versluys	Universiteit van Amsterdam	1-1-1899		-7.194519	112.736253	10 	https://commons.wikimedia.org/wiki/File:UvA-Artis_300.002_-_Siboga_-_laboratorium_aan_boord_van_de_Siboga.jpg				
	3	Beeld	De bemanning van de Siboga	Groepsfoto, gemaakt op het dek van de Siboga. In het midden Anna Weber-van Bosse, aan haar rechterkant Max Weber en vlak voor haar Baboe, de persoonlijke bediende van Anna. Linksonder met een pijp de tekenaar van de expeditie, J.W. Huysmans.	Groepsfoto, gemaakt op het dek van de Siboga. In het midden Anna Weber-van Bosse, aan haar rechterkant Max Weber en vlak voor haar Baboe, de persoonlijke bediende van Anna. Linksonder met een pijp de tekenaar van de expeditie, J.W. Huysmans.	Universiteit van Amsterdam	1-1-1899		-7.194519	112.736253	10 	https://commons.wikimedia.org/wiki/File:UvA-BC_300.425_-_Siboga_-_de_bemanning_en_de_wetenschappelijke_staf_van_de_Siboga.jpg				
	4	kaart	De geplande en de uiteindelijke route van de expeditie	De Siboga-expeditie volgde een iets andere route dan oorspronkelijk gepland. Een Wiki-vrijwilliger heeft beide routes op een kaart geplaatst.	De Siboga-expeditie volgde een iets andere route dan oorspronkelijk gepland. Een Wiki-vrijwilliger heeft beide routes op een kaart geplaatst.	Universiteit van Amsterdam	1-1-1899		-4.045529	122.905430	6 	https://commons.wikimedia.org/wiki/File:Karte_Siboga-Expedition.jpg				
	5	Artikel	De Siboga-expeditie	De Siboga-expeditie (1899-1900) was een invloedrijke expeditie naar Nederlands-Indie, het huidige Indonesië. Tot in 1986 is er over de resultaten gepubliceerd.	De Siboga-expeditie (1899-1900) was een invloedrijke expeditie naar Nederlands-Indie, het huidige Indonesië. Tot in 1986 is er over de resultaten gepubliceerd.	Universiteit van Amsterdam	1-1-1899		-4.045529	122.905430	6 	https://commons.wikimedia.org/wiki/File:Karte_Siboga-Expedition.jpg	https://nl.wikipedia.org/wiki/Siboga-expeditie	coordinaten = soort centrumpunt van de route van de expeditie		
1	6	Artikel	Diepzee-onderzoek met de kor	Tijdens de expeditie werd regelmatig een kor (diepzeenet) neergelaten, tot op een diepte van honderden meters.	Tijdens de expeditie werd regelmatig een kor (diepzeenet) neergelaten, tot op een diepte van honderden meters. De kor was voorzien van een paar dikke zwabbers, die over de grond slepende, fijne dieren in hun lange vezels konden vasthouden.	Universiteit van Amsterdam	1-1-1899		-7.194519	112.736253	10 	https://commons.wikimedia.org/wiki/File:UvA-Artis_300.003_-_Siboga_-_uitzetten_van_de_dreg.jpg	https://nl.wikipedia.org/wiki/Boomkorvisserij			
2	7	Beeld	Bima, Sumbawa	Gezicht op het binnenplein van de benting, gelegen op het eiland Sumbawa. Een deel van de dertien man tellende bezetting staat aangetreden. In het midden de commandant van het fort en de posthouder van Bima, de heer Brugman. Aan de rechterkant staan twee leden van de expeditie in tropenkleding, waaronder de heer J.W. Huysmans.	Gezicht op het binnenplein van de benting, gelegen op het eiland Sumbawa. Een deel van de dertien man tellende bezetting staat aangetreden. In het midden de commandant van het fort en de posthouder van Bima, de heer Brugman. Aan de rechterkant staan twee leden van de expeditie in tropenkleding, waaronder de heer J.W. Huysmans.	Universiteit van Amsterdam	5-4-1899		-8.464931	118.716587	10	https://commons.wikimedia.org/wiki/File:UvA-Artis_300.025_-_Siboga_-_benting_van_Bima.jpg				
3	8	Beeld	Paleis van de sultan van Bima	Het paleis van de sultan van Bima; in 2015 is dit een museum (Asi Mboja).	Het paleis van de sultan van Bima; in 2015 is dit een museum (Asi Mboja).	Universiteit van Amsterdam	5-4-1899		-8.459989	118.726935	10	https://commons.wikimedia.org/wiki/File:UvA-Artis_300.027_-_Siboga_-_paleis_van_de_Sultan_van_Bima.jpg	https://id.wikipedia.org/wiki/Asi_mbojo			
4	9	Beeld	Barang, eilandje voor Makassar	Max Weber en Anna Weber-van Bosse omringd door inlanders bij een sampan op het strand van Poeloe Barang. De sampan is van de man met de witte baard, de oudste visser en duiker van de kampong.	Max Weber en Anna Weber-van Bosse omringd door inlanders bij een sampan op het strand van Poeloe Barang. De sampan is van de man met de witte baard, de oudste visser en duiker van de kampong.	Universiteit van Amsterdam	31-5-1899		-5.112471	119.368650	10	https://commons.wikimedia.org/wiki/File:UvA-BC_300.054_-_Siboga_-_Poeloe_Barang,_eilandje_voor_de_kust_bij_Makassar_(Pulau_Barang).jpg				
5	10	Artikel	De rede van Makassar	De haven van Makassar op Zuid-Celebes.	De haven van Makassar op Zuid-Celebes.	Universiteit van Amsterdam	31-5-1899		-5.113085	119.408742	10	https://commons.wikimedia.org/wiki/File:UvA-BC_300.050_-_Siboga_-_rede_van_Makassar.jpg	https://nl.wikipedia.org/wiki/Makassar			
