zoomTo	title	summary	prefix	order	type	id	latitude	longitude
8	Departure Den Helder	The K-XVIII departed on 14 November 1934 from the Dutch Navy harbor in Den Helder to commence the longest solo mission for a submarine. On board was prof. Vening Meinesz.	POI 1	1	Afbeelding	1	529.649.769.357	478.797.912.598
8	Founder of NWO	Vening Meinesz was one of the founders of NWO. Thanks to his international network and experiences, the professor saw the possibilities of governmental funding in the scientific world.	POI 2	30	Afbeelding	2	520.801.917.322	434.378.385.544
6	Gravity Explained	The goal of Vening Meinesz was to measure the gravity field of the Earth. What is gravity and why does it differ on various locations.	POI 3	2	Afbeelding	3	466.192.610.362	-8.701.171.875
8	Aboard K-XVIII	The crewmembers on board the K-XVIII had to live in a cramped submarine for eight months. This meant they had to adjust to each other and the circumstances. 	POI 15	3	Afbeelding	4	401.788.733.143	-1.669.921.875
8	Isostasy Explained	Vening Meinesz discovered, during his many expeditions that the strength of the crust is partially responsible for supporting mountains and continents.	POI 5	4	Afbeelding	5	326.948.659.779	-169.189.453.125
8	Crossing of the Snip	One of the objectives of the K-XVIII was to be a navigational beacon for KLM's first trans-continental postal flight. Thanks to the K-XVIII it could safely cross the Atlantic Ocean.	POI 6	5	Afbeelding	6	1.133.333	-3.353.333
8	Plate Tectonics	The theory of plate tectonics was not yet accepted by the academic society during Vening Meinesz time. He did not believe in it, but his observations tell a different story.	POI 7	6	Afbeelding	7	6.95	-34.4
8	Neptune's Ritual	Crossing the equator with a ship could attract the god of the ocean to come aboard. Neptune and his wife visited the K-XVIII, when they crossed the equator on the 11th of January 1935.	POI 8	7	Afbeelding	8	1	-17
10	Romanche Trench	The Romanche Trench is a so-called transform fault and is more than seven km deep. It is located between Africa and South America.	POI 9	8	Afbeelding	9	-21.666	-19
8	Showing the Flag	During this time the reputation of the Dutch Navy was very low among the Dutch citizens. The Navy used this expedition to improve this reputation in the Netherlands.	POI 11	9	Afbeelding	10	-953.574.899.813	-344.091.796.875
8	Biography Vening Meinesz	Professor Vening Meinesz has achieved a lot during his life. His dedication to science played a major role in his life and he has influenced many scientists throughout the world. 	POI 10	10	Afbeelding	11	-254.035.849.732	-40.166.015.625
8	K-XVIII Submarine	Thanks to an incredible design and engineering of the K-XVIII, this vessel was able to sail the Earth's oceans and complete a trip of 23,000 miles.	POI 13	11	Afbeelding	12	-363.859.127.729	-44.384.765.625
8	Diving Procedure	The crewmembers aboard the K-XVIII performed diving procedures three times a day, on average. These procedures were performed by at least one third of the crew.	POI 30	12	Afbeelding	13	-324.333	-31.25
8	Spreading Ridge	The spreading ridge is an important aspect in plate tectonics. Vening Meinesz measured the gravity effect of several of these ridges during the voyage with the K-XVIII.	POI 16	13	Afbeelding	14	-363.859.127.729	-188.525.390.625
8	Tristan da Cunha	Tristan da Cunha is a volcanic island situated in the middle of the South Atlantic Ocean. On the island is a British settlement, which is one of the most remote places to live. 	POI 18	14	Afbeelding	15	-370.551.771.067	-122.827.148.438
8	Hotspot Volcanism	Hotspot volcanism is one of the three types of volcanism found on Earth. The source for these volcanoes is found in the deep layers of the mantle.	POI 19	15	Afbeelding	16	-289.216.312.824	4.130.859.375
8	Gravity Compared	Vening Meinesz' incredible work is best shown when compared to gravity observations from modern-day satellite observations.	POI 27	16	Afbeelding	17	-343.071.438.563	130.078.125
8	Stay at Cape Town	After a long and stormy stretch over the South Atlantic Ocean, the K-XVIII finally arrived in Cape Town. The crew and the professor were greatly welcomed. 	POI 20	17	Afbeelding	18	-339.798.087.287	185.119.628.906
8	Pendulum Apparatus	Vening Meinesz had designed the pendulum apparatus in 1921 to remove vertical motions from the observations. This invention allowed measuremnts of the gravity field on the oceans.	POI 23	18	Afbeelding	19	-369.498.917.868	27.509.765.625
8	Calibration and Time	The cause of his precise measurements of the gravity field is the numerous calibrations Vening Meinesz performed in the years before his expeditions. 	POI 22	19	Afbeelding	20	-298.597.014.421	308.715.820.312
8	Depth Measurements	The K-XVIII had sonar equipment on board for measuring the depth of the ocean floor, essential for Vening Meinesz studies. They revealed many secrets of the deep oceans. 	POI 4	20	Afbeelding	21	-28.304.380.683	460.546.875
8	Comite Onze Marine	The citizens of the Netherlands were excited by the long voyage of the K-XVIII. They started a comity to help the crew during the entire expedition.	POI 12	21	Afbeelding	22	-201.603.874.275	574.873.352.051
8	Troubles Onboard	In contrast with the reports from the movie and media, the mood onboard the K-XVIII wasn't always excellent. There were some arguments between the professor and the captain. 	POI 24	22	Afbeelding	23	-298.166	67.45
8	Location Finding	To determine the position of the K-XVIII, the navigation officer would use a sextant to measure different angles between celestial objects.  	POI 17	23	Afbeelding	24	-306.757.154.042	73.916.015.625
8	Geoid Explained	Geodesy is the study that is responsible for measuring the shape of the Earth. One of their biggest concerns is the definition of 0 meter height, or sea level. 	POI 25	24	Afbeelding	25	-29	93.779.296.875
8	Stay at Fremantle	Many Australians came to see the K-XVIII when it arrived in Fremantle. The professor visited the University of West Australia, where he made an observation of the gravity field. 	POI 21	25	Afbeelding	26	-320.510.073.613	115.729.980.469
8	Holweck-Lejay	The Golden Calf was too big and heavy to quickly take on land, so Vening Meinesz had acquired a Holweck-Lejay gravimeter from the "Bataafsche Petrolium Maatschappij" to perform land measurements. 	POI 26	26	Afbeelding	27	-252.446.959.513	116.762.695.312
8	Chronometers	Professor Vening Meinesz needed accurate timekeeping during his voyage for his precise gravity measurements, so he brought the best clocks available with him.	POI 14	27	Afbeelding	28	-191.451.681.962	111.884.765.625
8	Subduction Zone	At the end of the journey of the K-XVIII they sailed over a subduction zone, which is, coincidentally, also the location of the end-of-life of an oceanic plate. 	POI 28	28	Afbeelding	29	-109.627.642.564	1.156.640.625
8	Reception at Surabaya	After eight months of sailing the oceans of the Earth, the K-XVIII with professor Vening Meinesz arrived at the final port, Surabaya, where a large crowd awaited them. 	POI 29	29	Afbeelding	30	-720.921.909.763	1.127.293.396
